Gene symbol,GSM1686438,GSM1686442,GSM1686436,GSM1686440,GSM1686444,GSM1686437,GSM1686441,GSM1686445,GSM1686435,GSM1686439,GSM1686443,Variance
NME2,9.8403,9.96487,10.3143,9.66364,7.00352,10.461,10.6363,7.05855,10.4358,10.5471,6.85288,2.41394544
HNRNPK,13.6311,13.459,13.1282,13.3067,10.1299,13.4531,13.7828,10.2293,12.971,13.1148,9.88242,2.400803408
DTWD2,12.7052,12.8305,12.6446,12.7078,9.5022,12.8595,13.0001,9.66128,12.201,12.4005,9.04307,2.395219644
SLC12A2,9.08656,9.87391,9.98558,9.3264,6.27792,9.92344,10.2812,6.74273,10.1606,9.95325,6.79233,2.394550219
NQO1,10.0209,10.4542,10.2401,10.428,6.97897,10.3226,10.502,7.00993,10.004,10.331,7.01859,2.380078105
KRTAP16-1,10.0865,10.2738,10.6765,10.3371,7.4202,11.1041,10.7862,7.61201,11.2151,10.9324,7.35499,2.375022444
TMEM97,11.3973,11.5227,11.2633,11.1214,7.90744,11.6193,11.9013,8.60314,11.7901,11.0862,8.16803,2.373138575
ADI1,9.80865,9.74609,9.81656,9.74522,6.67655,10.0412,10.5747,6.86739,10.3174,9.90846,6.69946,2.366496177
MCM7,6.60731,6.46589,6.82299,6.70373,7.40185,9.1552,8.98831,10.2722,9.38673,8.37341,10.6727,2.365787283
ASCC2,13.415,13.1957,13.3369,13.2107,10.0088,13.5776,13.5871,9.99452,13.2723,13.2341,10.2239,2.36513451
SNAPC1,10.7129,10.8345,10.6576,10.3837,7.49766,10.8951,11.2849,7.78772,10.0346,10.2631,7.04652,2.357045393
PRODH,10.4115,10.4758,10.504,10.2491,7.2207,9.92718,10.6723,7.19151,10.0445,10.5507,6.91441,2.350861144
TDRD6,10.4192,10.2904,10.2691,10.0058,7.16118,10.4682,10.4494,6.93831,10.2535,10.1406,6.97,2.345017709
LTA,10.1365,10.2127,10.3201,9.94169,7.0725,10.8438,11.0575,7.25882,10.7956,10.438,7.50499,2.335999579
EIF3A,11.2587,11.7446,11.5743,11.2417,8.19689,10.973,11.5465,8.22444,11.1015,10.6002,7.78804,2.32147688
RPS28,14.0884,13.8923,13.8548,13.948,10.9422,14.1436,13.8329,10.0903,14.0,13.7845,11.1838,2.317404219
SULT1B1,10.0241,10.3805,10.9069,9.5041,7.18103,9.47994,9.63255,6.52166,9.99179,9.74525,6.8042,2.316193547
C3orf14,10.7525,10.986,11.4622,10.7366,7.83182,10.2867,10.7401,7.41533,10.6262,10.407,7.45052,2.313332521
FAM162A,9.31209,9.79282,9.63546,9.85343,6.56923,9.81186,10.2229,6.62105,10.0058,10.0601,6.67513,2.310361863
LOC401127,9.57867,9.75761,9.9029,8.96054,6.63974,10.188,10.2755,6.7138,10.5651,9.86581,6.93827,2.299775402
AADACL4,9.91229,9.72678,9.95805,9.79964,6.85534,10.5669,10.7334,7.08029,10.4476,10.3069,7.09438,2.299545221
TXNL1,9.3349,9.52724,9.74462,9.16507,6.09266,9.72415,10.1163,6.60665,9.99886,9.36982,6.6365,2.298921618
PPP1R37,10.1456,10.0615,9.93401,9.83996,6.81422,10.4979,10.6748,7.11201,9.71638,10.3413,6.96764,2.297402467
NACAP1,10.6745,10.5696,10.7363,10.2238,7.19775,10.5457,10.405,7.0419,10.5276,9.89052,7.50358,2.296453369
CENPU,10.4119,10.4044,10.5559,9.81073,6.98033,10.417,10.2603,7.01692,10.4323,9.65719,7.16522,2.296434441
ZNF575,9.79481,9.57635,9.76241,10.0967,6.6543,9.40956,10.0722,6.47909,9.62159,9.5905,6.4545,2.293592162
BTBD16,11.5838,11.9182,12.2378,11.8047,8.36959,12.3147,12.6109,9.3939,11.9361,11.9361,8.91579,2.291062526
NEK2,7.17245,7.76937,7.83499,7.58181,6.59779,9.93814,10.2489,6.75091,10.1124,10.1674,6.89767,2.279765404
AZIN1,9.60817,9.80762,9.38304,9.10523,6.1249,9.90006,9.91071,6.40858,9.41242,9.40175,6.6219,2.278853089
SHOX2,10.9952,10.9654,11.1199,10.7887,7.88112,9.66653,9.85727,7.2611,9.73914,9.50289,6.99647,2.277471126
LACTB,10.1476,10.0021,10.4275,9.23183,6.29482,10.0522,10.2935,8.75047,9.9379,9.21125,6.26447,2.274391788
DAAM1,11.0285,11.4957,11.3396,10.9273,8.02681,9.77604,10.3977,7.47974,10.1901,9.92869,7.41969,2.27420235
SOX2,10.4494,10.5833,11.2525,10.7399,8.20135,8.25251,8.02462,6.71856,9.17396,8.98624,7.36268,2.272233392
NUFIP1,10.5395,10.4021,10.3065,9.6376,7.42864,10.8853,11.0145,7.38122,10.7482,10.3204,7.25185,2.265925687
ULK4,9.64383,9.89218,9.8074,9.81676,7.0042,10.3518,10.7557,6.81267,10.1628,10.0632,6.90576,2.262876488
SRSF11,9.33274,9.78365,9.66709,9.24977,6.63307,9.41967,9.67548,6.62525,9.54394,9.39168,5.77085,2.259554195
RPL14,11.198,11.2085,11.1323,11.3414,7.73597,11.6763,11.755,8.41794,11.1594,11.6361,8.54616,2.256492619
CSF2RA,12.2317,12.0903,12.0435,11.8917,8.74994,12.1501,12.4084,9.13908,11.6988,11.7778,8.68662,2.254979526
OTUD6B,10.1294,10.9398,10.0119,9.83878,7.04279,10.0577,10.9154,7.18583,10.1802,10.2733,7.28942,2.246424873
ATXN1,10.4649,10.7021,10.1755,9.98318,6.7798,8.58607,9.0467,6.91409,8.44391,8.16517,6.67328,2.241096262
LOC152225,13.4736,13.511,13.5354,13.3991,10.2464,13.5286,13.7828,10.1396,13.628,13.3052,10.6295,2.236741063
FAM98A,10.8462,11.1548,10.8563,10.139,7.58688,11.2774,11.3734,7.92648,11.1512,11.0253,8.08825,2.228943272
WDR33,14.3293,14.0772,14.1762,14.3056,11.0629,14.2284,14.3281,10.8021,14.0122,14.0019,11.1429,2.225593669
OSTC,11.4954,11.3943,11.4865,10.6676,8.32737,10.6426,10.9493,7.72037,10.8116,10.6809,7.71348,2.217013096
BLVRB,9.45995,9.6462,9.33324,9.7553,6.56482,10.3543,10.7661,6.96844,9.5976,10.3536,7.07321,2.215386285
C19orf84,11.3138,11.2083,11.1659,11.0716,7.96399,11.2649,11.6496,7.98072,11.246,11.0896,8.31729,2.215008997
PCNA,9.83574,10.0219,10.3175,10.0812,7.23815,11.8225,11.8294,8.93155,11.8774,11.699,9.10359,2.209578401
MEI1,14.7666,14.417,14.5115,14.44,11.3187,14.7057,14.6233,11.028,14.5603,14.23,11.816,2.20951423
SPRTN,10.9813,11.222,11.338,10.8349,8.24233,10.4247,10.4953,7.43235,10.8051,10.1371,7.48651,2.200330062
CLIP1,10.8268,11.1304,11.1518,10.9276,8.24384,9.33529,9.25716,7.1,9.91032,9.24189,7.23763,2.196071428
CHPT1,9.93326,10.6541,10.0518,10.7121,7.07543,10.257,10.7972,7.36179,10.3797,10.4663,7.43436,2.193877662
HIST1H4H,11.182,11.1507,11.4088,11.2302,11.2131,8.30342,8.88594,8.49773,8.42222,7.98061,8.51629,2.189985819
SF3B6,10.5363,10.8834,10.8872,10.7569,7.44559,10.9149,11.1224,7.68066,11.005,10.7264,8.03713,2.181974601
DPPA2P3,9.88973,10.1802,10.1113,10.2893,6.99763,9.93221,10.3466,6.89963,9.94707,10.3063,7.04928,2.180309614
RFWD2,11.5818,11.5747,11.4046,11.1194,8.3845,11.1645,11.5555,8.02504,11.1183,11.185,8.22167,2.172346938
FSTL3,13.4191,13.261,13.0857,13.225,9.89763,13.4372,13.4626,10.4541,12.711,12.8144,9.89436,2.168115948
TMEM106A,11.4062,11.3177,11.2031,11.1318,7.91492,11.4012,11.4919,8.37764,10.7747,11.0021,8.01419,2.167825454
PRR11,7.62856,7.68425,8.13684,7.73665,8.24715,10.258,10.727,10.8503,10.5409,10.6253,10.9814,2.167744491
AASDHPPT,10.0586,10.3601,10.827,10.2451,6.94169,10.1181,10.4647,7.43053,10.4516,10.113,7.29009,2.166965474
TOP2A,8.2294,8.54728,8.91171,8.68158,9.20525,10.9047,11.3731,11.9798,11.1932,11.0832,11.9943,2.159517423
BCAS2,9.89759,10.4285,10.842,9.79424,7.27577,9.94443,10.183,6.93173,10.3884,9.85876,7.07753,2.158062945
TBC1D9,11.0407,11.2184,11.5221,10.953,8.96037,9.41356,9.87728,7.46211,9.4063,8.64839,7.29848,2.154767082
DDIAS,7.50572,7.8689,8.037,7.66207,7.26507,10.3536,10.9457,10.5584,10.5447,10.1052,9.9694,2.153383537
FYTTD1,10.4688,10.8049,10.5857,9.93283,7.31702,10.4109,10.7374,7.47607,10.4031,10.2809,7.2643,2.152677047
USP49,11.9848,12.2873,11.9755,11.9795,8.91717,12.0857,12.3193,9.19212,11.4074,11.506,8.5302,2.145816885
TSC22D2,10.9202,11.2449,10.9402,9.74015,7.88036,10.7463,10.7052,7.50888,10.6873,10.1875,7.51802,2.143315473
NMD3,12.1718,12.6982,12.0712,11.855,8.97531,12.5499,13.0954,9.72826,12.8001,12.7267,9.77408,2.132961166
CDK1,9.21182,9.25017,9.64393,8.94553,7.3132,11.4635,11.8628,9.34163,11.7734,11.4331,9.3959,2.123791424
HNRNPCL2,9.41658,9.34729,9.34027,9.05656,6.23853,9.99764,10.0285,6.70024,9.64519,9.57235,6.56037,2.120483809
TPI1P2,11.2772,11.081,10.7419,11.2037,8.20824,11.738,11.9941,8.34487,11.1633,11.5593,8.3874,2.117859985
NACAD,10.1302,9.96683,9.79445,10.0049,7.31854,10.3023,10.2135,6.8417,9.72559,9.9701,6.6603,2.111092265
BLZF1,13.3649,13.5867,13.4359,13.4277,10.2498,13.6367,13.723,10.5012,13.0135,13.241,10.2954,2.109838445
SUMO1P3,10.9002,10.9358,11.2277,10.5504,8.06102,11.5512,11.7635,8.20994,11.7694,11.0172,8.37456,2.105503362
PAPSS1,9.91841,10.0001,10.1088,9.70918,6.80827,9.52304,9.85093,6.61318,9.43185,9.48593,6.62895,2.104162084
