Gene symbol,GSM1686435,GSM1686436,GSM1686437,GSM1686438,GSM1686439,GSM1686440,GSM1686441,GSM1686442,GSM1686443,GSM1686444,GSM1686445,Variance
HNRNPKP3,0.590226013750783,0.590550386399233,0.7460330092228568,0.6140674034118464,0.6308807190231634,0.44371770086760504,0.6724544801328182,0.5975243983409046,-1.550595622542519,-1.6594983330487458,-1.6753601555579427,3.76362836
CCZ1B,0.5930990643805288,0.5907722674399625,0.6097654238617914,0.588391358942639,0.5764868164560234,0.49932373652004586,0.7455854313227345,0.6868202806842545,-1.6142249700208677,-1.6429365620363166,-1.6330828475508035,3.756752881
FNDC3B,0.5604649817191336,0.2611291249405507,0.714362655910731,0.4555347493157715,0.8954283127556021,0.40304251935894747,0.9586575897490492,0.5407803954853243,-1.4755177374698627,-1.8244229614008558,-1.489459630364387,3.740704089
MOXD2P,0.44064910176013733,0.7922064826326688,0.647655029839888,0.6445621496562591,0.6345238543234274,0.36636571629718034,0.6939939715384744,0.6487402509569512,-1.594818755930994,-1.663388452212614,-1.6104893488613825,3.736080321
NANOGNB,0.8516180378089242,0.569798609435315,0.7995681028982023,0.44162971960818037,0.6103845190160142,0.1758381939471635,0.8465651735639378,0.5182376613870101,-1.5581581188735263,-1.6222099646629322,-1.6332719341283009,3.726347236
YPEL5,0.3182354302377388,0.4440636767793255,0.7542512668041726,0.7720556097808491,0.5628681916879124,0.5634671145403384,0.7786982086895784,0.6476974466043085,-1.7543207663242741,-1.6736894161280667,-1.4133267626718944,3.710532902
BNIPL,-1.038353149115249,1.106955572743743,-0.9286431078480827,1.0001847288642698,-0.977693349967381,1.232484930563226,-0.6832555708421432,0.9456541650851723,-0.8103226905601963,1.155705896762257,-1.0027174256856088,3.699241713
LOC100130476,0.5745028759120029,0.6252883484280818,0.6580496349055517,0.7231339297805262,0.5875416487909969,0.23533042677819296,0.8226778386928403,0.6260553350680227,-1.5629628846549488,-1.6405819326169553,-1.6490352210843022,3.664993075
PRKAR1A,0.41964302603565806,0.8948506713466271,0.3837762285707571,0.675427037314407,0.30754557340835065,0.6760851436899102,0.5613004233626325,0.8756559020611291,-1.7256521368283178,-1.3106831617550372,-1.7579487072061168,3.657320169
AMY1B,0.4217805445417788,0.35441024876213456,0.6998750309481407,0.5547106965564979,0.5648601303669497,0.5373743663721601,0.977036866680028,0.7183634590244758,-1.5892282706610155,-1.7756047925035272,-1.46357828008763,3.654706542
HMGB2,1.1536154267931527,0.2787109728223558,0.8711045649971211,0.06913646387599431,0.9889971383674753,-0.11196024240351199,1.0852134036884955,0.11729989324071276,-1.4025576702540627,-1.6446024039110574,-1.4049575472166675,3.59744523
BPIFA4P,0.4442417875748281,0.6393050986020727,0.5956441191976763,0.4826457415756528,0.7522481391145851,0.5600070206724158,0.8102414298824008,0.5882842836326773,-1.5868072102393986,-1.580006279480463,-1.7058041305324443,3.59219368
FGF14-AS2,0.28949551034136406,0.6040779213719015,0.8459790346158421,0.6247171906670269,0.41449624615296854,0.45893725342553743,0.8151865763932761,0.7736306282694894,-1.760361207630179,-1.5202632563542262,-1.5458958972530106,3.573468265
SBDS,0.46629354964707564,0.4032021046781571,0.76948761764195,0.7602763776552826,0.46529474049189523,0.3579227563099622,0.8771925382089424,0.73114444396251,-1.7321741839418183,-1.5473168050768615,-1.5513231395770868,3.572503528
SUMF2,0.5724599900195616,0.5279130893918549,0.6612205226917259,0.7304848432437843,0.4213782322797087,0.6452791754596161,0.7111552654153027,0.6103970637461502,-1.541629267824766,-1.6525521612830336,-1.686106753139889,3.565385019
CBY3,0.5661622329011182,0.2756438291328861,0.7805885102372347,0.5105949563618757,0.7665715395786872,0.4314991933600704,0.979607244428836,0.49168317055272365,-1.4766388095939464,-1.8171399507977786,-1.508571916161694,3.555375196
NLGN2,0.6144733545002573,0.3165832364026191,0.6218733144754139,0.6781241380459611,0.5791427185286475,0.49874465714443195,0.8372510969102206,0.6974308005375344,-1.4650711871496724,-1.8479050563305506,-1.5306470730648527,3.553343771
VPS13A-AS1,0.6421453144664971,0.7232960615519034,0.7661008512233267,0.4529236205413907,0.46551982166865874,0.32205689378552954,0.7480983159839125,0.7329382863086175,-1.5827339524315098,-1.670790315975626,-1.5995548971227023,3.541036394
UMAD1,0.6341640417663719,0.7157615243771971,0.7318692241548805,0.5953160599496056,0.5401374344135965,0.23732382579022743,0.7572848334926787,0.5974897633798119,-1.3024273593942917,-1.5645369778874123,-1.9423823700426766,3.540962421
SIGLEC9,0.5473919302422401,0.6305707321715572,0.7403376437350793,0.8077315047868283,0.5461045059862681,0.4777030955168013,0.4925364619443044,0.6326977809422935,-1.6214141663616364,-1.5535165306010288,-1.700142958362703,3.510791051
ARMT1,0.8486608948688575,0.6737774192271201,0.3833509359681879,0.4246483155093474,0.6428464103984622,0.434846582912999,0.6122516081875085,0.8270316024633105,-1.6008452631720338,-1.5756970081678645,-1.6708714981958974,3.503343089
NDUFB9,0.4981491256294877,0.580851180379072,0.5164087504892808,0.5620859043693166,0.5847278391954598,0.555175338653149,0.8562625067258549,0.7187253939357843,-1.5980052431597256,-1.7308847470240205,-1.5434960491936607,3.484782728
C7orf72,0.8488210844156637,0.5659548372637864,0.726420007085185,0.611553033733707,0.3095141786949699,0.39210819918117723,0.7346850315994623,0.6386533181954848,-1.6329689909236647,-1.8101553736059202,-1.384585325639855,3.479678042
LOC646626,0.4533001329209073,0.7221889627710588,0.6625608959005231,0.57340006006109,0.32785618091968655,0.7237077908894597,0.6293154359755363,0.7522280077794229,-1.6890631809761838,-1.3770565084314426,-1.7784377778100593,3.476185599
LZTS1,0.5164238754269912,0.6072511913723222,0.6983038852728519,0.616717065490694,0.5194101333333824,0.6279296187618607,0.7714953762238342,0.5243684483477682,-1.5310221585813326,-1.630075769891438,-1.7208016657569292,3.464892773
YY1,0.7285118280918234,0.7455342339379728,0.5276812584566284,0.49521468306794636,0.5316268492156694,0.42768871550607057,0.7025272946644242,0.7133494864606512,-1.547620568983845,-1.6777799715663861,-1.646733808850959,3.462299952
